iyear,imonth,iday,provstate,city,latitude,longitude,specificity,vicinity,location,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,ishostkid,nhostkid,nhostkidus,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
1984,3,28,Punjab,Unknown,31.147131,75.341218,4,0,,1,Assassination,1,Business,5,Firearms,0,,,0,,,1,,
1984,4,11,Punjab,Rahon,31.052128,76.117499,1,0,,1,Assassination,1,Business,5,Firearms,0,,,2,,,0,,
1984,4,22,Himachal Pradesh,Amarkot,30.464581,77.640726,1,0,,2,Armed Assault,1,Business,5,Firearms,0,,,3,,,10,,
1984,4,26,Punjab,Amritsar,31.633979,74.872264,1,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1984,4,26,Punjab,Unknown,31.147131,75.341218,4,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1986,2,6,Punjab,Gumang Kalaveli,31.147131,75.341218,2,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1986,2,8,Punjab,Firozpur,30.954424,74.612085,1,0,,2,Armed Assault,1,Business,5,Firearms,0,,,2,,,1,,
1987,6,20,West Bengal,Darjeeling,27.036007,88.262675,1,1,,7,Facility/Infrastructure Attack,1,Business,5,Firearms,0,,,1,,,1,,
1987,6,23,Unknown,Haltabadla,,,5,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1987,8,9,Himachal Pradesh,Jabal,31.103949,77.455318,1,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1987,9,18,Punjab,Jalandhar district,31.326015,75.576183,3,0,,2,Armed Assault,1,Business,5,Firearms,0,,,6,,,8,,
1987,9,18,Punjab,Amritsar,31.613911,74.856927,1,0,,1,Assassination,1,Business,5,Firearms,0,,,0,,,1,,
1987,9,18,Punjab,Amritsar,31.613911,74.856927,1,0,,1,Assassination,1,Business,5,Firearms,0,,,2,,,2,,
1987,9,28,Punjab,Amritsar District,31.633979,74.872264,3,0,,1,Assassination,1,Business,5,Firearms,0,,,2,,,0,,
1987,11,17,Punjab,Rama,30.608496,75.380567,1,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1988,1,3,Unknown,Chalita Bankur,,,5,0,,2,Armed Assault,1,Business,5,Firearms,0,,,10,,,0,,
1988,1,13,Punjab,Amritsar District,31.633979,74.872264,3,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
1988,1,14,Uttar Pradesh,Tikapur,27.088333,81.2025,1,0,,1,Assassination,1,Business,5,Firearms,0,,,1,,,0,,
